CC.TABLE_NAME||'|'||CC.COLUMN_NAME||'|'||RC.TABLE_NAME||'|'||RC.COLUMN_NAME||'|'||C.CONSTRAINT_NAME
BATCH5_JOB_EXECUTION|JOB_INSTANCE_ID|BATCH5_JOB_INSTANCE|JOB_INSTANCE_ID|BATCH5_JOB_INST_EXEC_FK
GCBCREC|GCBCREC_ORGANIZATION_ID|GCRORAN|GCRORAN_SURROGATE_ID|FK1_GCBCREC_INV_GCRORAN
GCBCREC|GCBCREC_POPL_ID|GCBPOPL|GCBPOPL_SURROGATE_ID|FK1_GCBCREC_INV_GCBPOPL
GCBCREC|GCBCREC_TEMPLATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK_GCBCREC_INV_GCBTMPL
GCBEMTL|GCBEMTL_SURROGATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK_GCBEMTL_INV_GCBTMPL
GCBEVMP|GCBEVMP_ORGANIZATION_ID|GCRORAN|GCRORAN_SURROGATE_ID|FK1_GCBEVMP_INV_GCRORAN
GCBEVMP|GCBEVMP_QUERY_ID|GCBQURY|GCBQURY_SURROGATE_ID|FK1_GCBEVMP_INV_GCBQURY
GCBEVMP|GCBEVMP_TEMPLATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK1_GCBEVMP_INV_GCBTMPL
GCBGSND|GCBGSND_EVENT_ID|GCBEVMP|GCBEVMP_SURROGATE_ID|FK_GCBGSND_INV_GCBEVMP
GCBGSND|GCBGSND_ORGANIZATION_ID|GCRORAN|GCRORAN_SURROGATE_ID|FK1_GCBGSND_INV_GCRORAN
GCBGSND|GCBGSND_POPCALC_ID|GCRPOPC|GCRPOPC_SURROGATE_ID|FK1_GCBGSND_INV_GCRPOPC
GCBGSND|GCBGSND_POPLIST_ID|GCBPOPL|GCBPOPL_SURROGATE_ID|FK1_GCBGSND_INV_GCBPOPL
GCBGSND|GCBGSND_POPVERSION_ID|GCRPOPV|GCRPOPV_SURROGATE_ID|FK1_GCBGSND_INV_GCRPOPV
GCBGSND|GCBGSND_TEMPLATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK_GCBGSND_INV_GCBTMPL
GCBLTPL|GCBLTPL_SURROGATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK_GCBLTPL_INV_GCBTMPL
GCBMNTL|GCBMNTL_SURROGATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK_GCBMNTL_INV_GCBTMPL
GCBPOPL|GCBPOPL_FOLDER_ID|GCRFLDR|GCRFLDR_SURROGATE_ID|FK1_GCBPOPL_INV_GCRFLDR
GCBQURY|GCBQURY_FOLDER_ID|GCRFLDR|GCRFLDR_SURROGATE_ID|FK_GCBQURY_INV_GCRFLDR
